Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 57 Vip down	5/220	2.070832896745074e-05	0.0041479003556558	0	0	17.669051878354203	190.5602752378267	CADM3;RBFOX2;EEF1A2;KIF5A;SHANK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 125 DG down	6/425	4.1700095984392686e-05	0.0041479003556558	0	0	11.198090692124104	112.93282444309872	CADM3;RBFOX2;APC;KIF5A;CPLX1;SHANK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 309 L5 NP CTX down	3/51	6.676272444380559e-05	0.0041479003556558	0	0	44.46651785714285	427.5173618821509	RBFOX2;SNRNP70;SHANK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 51 Vip up	2/10	0.00010381978350160118	0.0041479003556558	0	0	172.07758620689654	1578.4425771666922	DLX1;SGK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 1 CR down	7/769	0.0001416974682766961	0.0041479003556558	0	0	7.351760717410324	65.14995279906141	CADM3;RBFOX2;APC;EEF1A2;KIF5A;CPLX1;SHANK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 54 Vip up	2/12	0.0001519754404094439	0.0041479003556558	0	0	137.64827586206897	1210.1749591161836	DLX1;SGK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 54 Vip down	4/179	0.000161610342582225	0.0041479003556558	0	0	16.7568253968254	146.29248832924137	RBFOX2;EEF1A2;KIF5A;SHANK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 57 Vip up	2/13	0.00017943408999380463	0.0041479003556558	0	0	125.12852664576802	1079.32145813929	DLX1;SGK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 356 Astro up	3/72	0.0001870359038989588	0.0041479003556558	0	0	30.900621118012424	265.25741957388675	HTRA1;SLC6A11;ATP1B2
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 46 Vip up	2/14	0.00020913783305828015	0.0041479003556558	0	0	114.69540229885058	971.7587498188318	DLX1;SGK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 55 Vip up	2/14	0.00020913783305828015	0.0041479003556558	0	0	114.69540229885058	971.7587498188318	TSHZ1;SGK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 56 Vip up	2/14	0.00020913783305828015	0.0041479003556558	0	0	114.69540229885058	971.7587498188318	DLX1;SGK1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 121 DG down	5/372	0.0002472438702049392	0.0042556209067876	0	0	10.271431565709497	85.3056296961286	CADM3;RBFOX2;APC;EEF1A2;CPLX1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 122 DG down	5/373	0.0002503306415757437	0.0042556209067876	0	0	10.242997491638796	84.94239156630941	CADM3;RBFOX2;APC;EEF1A2;CPLX1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 158 L2/3 IT ENTl up	2/19	0.0003911033610206631	0.0061105487293231	0	0	80.94117647058823	635.1080721816556	TSHZ1;HAP1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 50 Vip down	3/94	0.0004107931918872676	0.0061105487293231	0	0	23.40423861852433	182.4926935686156	CADM3;RBFOX2;EEF1A2
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 124 DG down	4/235	0.000455599155467638	0.0063783881765469	0	0	12.658649991983326	97.3943514767332	CADM3;KIF5A;SLC6A1;CPLX1
Allen_Brain_Atlas_10x_scRNA_2021	Mouse 11 Lamp5 up	2/22	0.0005268052091926898	0.0068253023093957	0	0	68.78965517241379	519.2710735545378	TSHZ1;SGK1
