Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_down	Secondary motor area, layer 2/3	6/300	5.81703861103981e-06	0.0056425274527086	0	0	16.06122448979592	193.6135521230383	CLDN5;VTN;GJA1;EEF1A2;MTSS1L;SGK1
Allen_Brain_Atlas_down	terminal hypothalamus (rostral hypothalamus)	5/300	9.061527293213452e-05	0.017579362948834	0	0	12.82529335071708	119.389216595022	CADM3;TSHZ1;NRIP3;SGK1;CPLX1
Allen_Brain_Atlas_down	Primary somatosensory area, lower limb, layer 1	5/300	9.061527293213452e-05	0.017579362948834	0	0	12.82529335071708	119.389216595022	APC;TSHZ1;EEF1A2;KIF5A;SGK1
Allen_Brain_Atlas_down	Secondary motor area, layer 1	5/300	9.061527293213452e-05	0.017579362948834	0	0	12.82529335071708	119.389216595022	CADM3;APC;EEF1A2;MTSS1L;SGK1
Allen_Brain_Atlas_down	laterodorsal nucleus	5/300	9.061527293213452e-05	0.017579362948834	0	0	12.82529335071708	119.389216595022	DLX1;HTRA1;MTSS1L;HAP1;SLC6A1
Allen_Brain_Atlas_down	Central lateral nucleus of the thalamus	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	DLX1;GNG4;HAP1;SLC6A1
Allen_Brain_Atlas_down	Isocortex	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	GJA1;TIMP3;SLC6A11;HAP1
Allen_Brain_Atlas_down	Lateral dorsal nucleus of thalamus	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	DLX1;MTSS1L;HAP1;SLC6A1
Allen_Brain_Atlas_down	Olfactory tubercle, molecular layer	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	CADM3;KIF5A;MTSS1L;ATP1B2
Allen_Brain_Atlas_down	Paragigantocellular reticular nucleus	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	Secondary motor area	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;MTSS1L;SLC6A11
Allen_Brain_Atlas_down	Somatomotor areas	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;PCBP3;SLC6A11
Allen_Brain_Atlas_down	basal part of terminal hypothalamus	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	TSHZ1;NRIP3;SGK1;CPLX1
Allen_Brain_Atlas_down	central lateral nucleus	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	DLX1;HTRA1;HAP1;SLC6A1
Allen_Brain_Atlas_down	dorsal pallium/isocortex	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	GJA1;TIMP3;SLC6A11;HAP1
Allen_Brain_Atlas_down	intermediate part of THyB	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	TSHZ1;NRIP3;SGK1;CPLX1
Allen_Brain_Atlas_down	intermediate part of the arcuate nucleus	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	CADM3;TSHZ1;NRIP3;CPLX1
Allen_Brain_Atlas_down	intermediate stratum of THyB-I	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	DDIT4;NRIP3;SGK1;CPLX1
Allen_Brain_Atlas_down	intermediate stratum of r7BL	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	intermediate stratum of r8BL	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	lateral part of r7B	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	lateral part of r8B	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	lateral part of r9B	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;SNRNP70;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	mantle zone of PCx	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	GJA1;PCBP3;SLC6A11;HAP1
Allen_Brain_Atlas_down	mantle zone of THyB-I	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	TSHZ1;NRIP3;SGK1;CPLX1
Allen_Brain_Atlas_down	mantle zone of r7BL	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	mantle zone of r8BL	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;GJA1;ATP1B2;SLC6A1
Allen_Brain_Atlas_down	mantle zone of r9BL	4/300	0.0011343795959112	0.0333438850919381	0	0	9.846346346346346	66.77466561077695	VTN;SNRNP70;ATP1B2;SLC6A1
