Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Allen_Brain_Atlas_up	Main olfactory bulb, mitral layer	6/301	5.928952969306516e-06	0.0049981073531253	0	0	16.005966101694916	192.64241279834204	CLDN5;APC;PCBP3;GNG4;TSHZ1;NRIP3
Allen_Brain_Atlas_up	Main olfactory bulb, granule layer	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	APC;PCBP3;GNG4;TSHZ1;NRIP3
Allen_Brain_Atlas_up	OB granular layer	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	APC;PCBP3;GNG4;TSHZ1;NRIP3
Allen_Brain_Atlas_up	OB inner plexiform layer	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	CLDN5;APC;PCBP3;GNG4;NRIP3
Allen_Brain_Atlas_up	periventricular stratum of OB	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	APC;PCBP3;GNG4;TSHZ1;NRIP3
Allen_Brain_Atlas_up	periventricular stratum of RtC	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	CLDN5;GJA1;TIMP3;SLC6A11;HAP1
Allen_Brain_Atlas_up	periventricular stratum of p3ZL	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	CLDN5;GJA1;TIMP3;SLC6A11;HAP1
Allen_Brain_Atlas_up	retrohypothalamic nucleus	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	CLDN5;GJA1;TIMP3;SLC6A11;HAP1
Allen_Brain_Atlas_up	shell of p3ZL	5/301	9.204579484175828e-05	0.0086216227835113	0	0	12.78131496881497	118.77962729820014	CLDN5;GJA1;TIMP3;SLC6A11;HAP1
Allen_Brain_Atlas_up	AOB, granular layer	4/301	0.0011484178263043	0.0261653034479607	0	0	9.812694849731889	66.425762989682	APC;PCBP3;GNG4;TSHZ1
Allen_Brain_Atlas_up	AOB, mitral cell layer	4/301	0.0011484178263043	0.0261653034479607	0	0	9.812694849731889	66.425762989682	APC;PCBP3;GNG4;TSHZ1
Allen_Brain_Atlas_up	Accessory olfactory bulb, glomerular layer	4/301	0.0011484178263043	0.0261653034479607	0	0	9.812694849731889	66.425762989682	APC;PCBP3;GNG4;TSHZ1
