Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2016	GABAergic synapse Homo sapiens hsa04727	4/88	1.005326780443416e-05	0.0006836222107015229	0	0	35.070546737213405	403.5782732950975	GNG4;SLC6A11;HAP1;SLC6A1
KEGG_2016	Dopaminergic synapse Homo sapiens hsa04728	3/129	0.0010325571543256	0.0308734747520638	0	0	16.87329931972789	116.0160289435184	PPP1CC;GNG4;KIF5A
KEGG_2016	Aldosterone-regulated sodium reabsorption Homo sapiens hsa04960	2/39	0.0016623989830333	0.0308734747520638	0	0	37.15191053122088	237.7534117911538	ATP1B2;SGK1
KEGG_2016	PI3K-Akt signaling pathway Homo sapiens hsa04151	4/341	0.0018160867501214	0.0308734747520638	0	0	8.630398944939005	54.46706248528726	VTN;GNG4;DDIT4;SGK1
KEGG_2016	Proteoglycans in cancer Homo sapiens hsa05205	3/203	0.0037563625783629	0.0510865310657363	0	0	10.590535714285714	59.14077295499547	VTN;PPP1CC;TIMP3
KEGG_2016	MicroRNAs in cancer Homo sapiens hsa05206	3/297	0.0107166058058413	0.1214548657995356	0	0	7.170189504373178	32.523698492189304	APC;DDIT4;TIMP3
KEGG_2016	Glutamatergic synapse Homo sapiens hsa04724	2/114	0.0134452433845676	0.1306109357358	0	0	12.227216748768472	52.6886651292538	GNG4;SHANK1
KEGG_2016	Cell adhesion molecules (CAMs) Homo sapiens hsa04514	2/142	0.0203450563279143	0.1590130893925902	0	0	9.767980295566502	38.045475721512574	CLDN5;CADM3
KEGG_2016	Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261	2/148	0.0219806886196193	0.1590130893925902	0	0	9.363722248464809	35.74686179276739	PPP1CC;ATP1B2
KEGG_2016	Hippo signaling pathway Homo sapiens hsa04390	2/153	0.0233842778518515	0.1590130893925902	0	0	9.051381593971229	33.99419573098527	PPP1CC;APC
KEGG_2016	cGMP-PKG signaling pathway Homo sapiens hsa04022	2/167	0.0275051023791878	0.1700315419804342	0	0	8.277533960292581	29.74435602678664	PPP1CC;ATP1B2
KEGG_2016	Alcoholism Homo sapiens hsa05034	2/179	0.0312533091680693	0.176638657362633	0	0	7.711669588934346	26.725793593388094	PPP1CC;GNG4
KEGG_2016	Proximal tubule bicarbonate reclamation Homo sapiens hsa04964	1/23	0.0350674733320936	0.176638657362633	0	0	30.222727272727276	101.2606814695486	ATP1B2
KEGG_2016	cAMP signaling pathway Homo sapiens hsa04024	2/199	0.0379207764546319	0.176638657362633	0	0	6.921757395413968	22.64976303761896	PPP1CC;ATP1B2
KEGG_2016	Focal adhesion Homo sapiens hsa04510	2/202	0.0389644097123455	0.176638657362633	0	0	6.816896551724138	22.121556134519796	VTN;PPP1CC
