Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2015	positive regulation of transporter activity (GO:0032411)	3/52	4.6394773151070445e-05	0.0182890876745546	0	0	50.826530612244895	507.1635776746594	ATP1B2;HAP1;SGK1
GO_Biological_Process_2015	regulation of transporter activity (GO:0032409)	4/153	5.03831616378915e-05	0.0182890876745546	0	0	23.138605194047276	228.9762479627221	ATP1B2;HAP1;SGK1;SHANK1
GO_Biological_Process_2015	neuron projection morphogenesis (GO:0048812)	4/175	8.492722353795405e-05	0.0199208165949365	0	0	20.13933384185101	188.78039308122132	GJA1;RBFOX2;APC;SHANK1
GO_Biological_Process_2015	brain development (GO:0007420)	4/187	0.00010975656526135836	0.0199208165949365	0	0	18.80731765264909	171.4709357648616	DDIT4;SLC6A11;APOD;HAP1
GO_Biological_Process_2015	cell communication by electrical coupling (GO:0010644)	2/14	0.0001581177517279993	0.0229586975509055	0	0	133.07333333333332	1164.680507447672	GJA1;ATP1B2
GO_Biological_Process_2015	cell projection morphogenesis (GO:0048858)	4/228	0.00023493170744141604	0.0260996851860755	0	0	15.33307453416149	128.12647803949469	GJA1;RBFOX2;APC;SHANK1
GO_Biological_Process_2015	synaptic transmission (GO:0007268)	5/434	0.0002558679501269082	0.0260996851860755	0	0	10.353888535706718	85.63544932897615	GNG4;KIF5A;SLC6A11;HAP1;CPLX1
GO_Biological_Process_2015	reflex (GO:0060004)	2/19	0.000295888922652129	0.0260996851860755	0	0	93.91058823529411	763.0729672678495	GJA1;SHANK1
GO_Biological_Process_2015	cell part morphogenesis (GO:0032990)	4/248	0.0003235498163563083	0.0260996851860755	0	0	14.06200997861725	113.0045264492246	GJA1;RBFOX2;APC;SHANK1
GO_Biological_Process_2015	long-term memory (GO:0007616)	2/28	0.000649191109030096	0.0415055503338048	0	0	61.37538461538462	450.48203025425846	SGK1;SHANK1
GO_Biological_Process_2015	tissue regeneration (GO:0042246)	2/28	0.000649191109030096	0.0415055503338048	0	0	61.37538461538462	450.48203025425846	GJA1;APOD
GO_Biological_Process_2015	regulation of ion transmembrane transport (GO:0034765)	4/314	0.0007864734207581175	0.0415055503338048	0	0	11.031136044880784	78.85002687682436	GJA1;ATP1B2;HAP1;SHANK1
GO_Biological_Process_2015	regulation of ion transmembrane transporter activity (GO:0032412)	3/137	0.0008153592497406877	0.0415055503338048	0	0	18.50652985074627	131.6162518017529	ATP1B2;HAP1;SHANK1
GO_Biological_Process_2015	regulation of cell growth (GO:0001558)	4/322	0.0008637679684199688	0.0415055503338048	0	0	10.749248017500683	75.82741394844894	GNG4;FAM107A;HTRA1;SGK1
GO_Biological_Process_2015	regulation of transmembrane transporter activity (GO:0022898)	3/141	0.0008862537783739172	0.0415055503338048	0	0	17.966485507246375	126.27757304820685	ATP1B2;HAP1;SHANK1
GO_Biological_Process_2015	regulation of transmembrane transport (GO:0034762)	4/327	0.0009147228723703547	0.0415055503338048	0	0	10.580158836990174	74.02820132572319	GJA1;ATP1B2;HAP1;SHANK1
GO_Biological_Process_2015	hair follicle development (GO:0001942)	2/38	0.0011973586786605	0.0496507885790677	0	0	44.30444444444444	298.0642307534546	APC;APCDD1
