Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mouse_Gene_Atlas	olfactory bulb	9/414	2.1558236431366724e-09	5.8207238364690164e-08	0	0	24.158024691358023	482.0756290601072	PPP1CC;APC;PCBP3;PCP4L1;GNG4;TSHZ1;NRIP3;SLC6A11;CPLX1
Mouse_Gene_Atlas	spinal cord	5/353	9.76299164310885e-05	0.0013180038718196	0	0	12.816745036572623	118.3540094974807	GJA1;SLC6A11;APOD;ATP1B2;CPLX1
Mouse_Gene_Atlas	cerebellum	4/428	0.0024568235767915	0.0221114121911238	0	0	8.018457752255948	48.1819984676912	CADM3;FAM107A;MTSS1L;ATP1B2
Mouse_Gene_Atlas	dorsal root ganglia	4/541	0.0056687251613221	0.0382638948389241	0	0	6.294551048498097	32.560397175083324	CADM3;PCBP3;APOD;CPLX1
Mouse_Gene_Atlas	hypothalamus	3/296	0.0072166269151272	0.038969785341687	0	0	8.395904436860068	41.403291293252245	KIF5A;SLC6A11;HAP1
Mouse_Gene_Atlas	MEF	2/300	0.0615568629992646	0.2615025389722594	0	0	5.281879194630872	14.724790756392848	RBFOX2;SHANK1
Mouse_Gene_Atlas	ciliary bodies	2/317	0.0677969545483635	0.2615025389722594	0	0	4.992507936507937	13.436027090059534	GJA1;APCDD1
Mouse_Gene_Atlas	neuro2a	2/425	0.1117284483419294	0.3770835131540118	0	0	3.697399527186761	8.103531089876938	PCBP3;DDIT4
Mouse_Gene_Atlas	mast cells	2/515	0.1526605807153397	0.4335368223823613	0	0	3.034697855750488	5.703830692950857	CADM3;SHANK1
Mouse_Gene_Atlas	iris	1/133	0.1649525962977769	0.4335368223823613	0	0	5.781177156177156	10.418242827789005	APCDD1
Mouse_Gene_Atlas	ovary	1/153	0.1873696997105391	0.4335368223823613	0	0	5.015435222672065	8.399206979343194	GJA1
Mouse_Gene_Atlas	macrophage peri LPS thio 1hrs	2/598	0.1926830321699383	0.4335368223823613	0	0	2.600939597315436	4.282990020500215	SLC6A11;SGK1
Mouse_Gene_Atlas	osteoblast day5	1/175	0.2113590766392099	0.4389765437891283	0	0	4.376436781609195	6.801844071495797	RBFOX2
Mouse_Gene_Atlas	amygdala	1/308	0.3424988919615289	0.5665534830688076	0	0	2.4637935354547733	2.6399223902066264	HAP1
Mouse_Gene_Atlas	lens	2/947	0.3679550270653157	0.5665534830688076	0	0	1.6108359788359787	1.6105050444124698	HTRA1;SLC6A11
Mouse_Gene_Atlas	cerebral cortex	1/349	0.3785005687567066	0.5665534830688076	0	0	2.1689876215738284	2.1072532526667165	KIF5A
Mouse_Gene_Atlas	lung	1/354	0.3827589030698481	0.5665534830688076	0	0	2.1377206363042056	2.0529599786967845	CLDN5
Mouse_Gene_Atlas	min6	1/361	0.3886733973819922	0.5665534830688076	0	0	2.095405982905983	1.980191936102144	TSHZ1
Mouse_Gene_Atlas	epidermis	1/373	0.3986857843817535	0.5665534830688076	0	0	2.026571546732837	1.8635980678980872	APCDD1
Mouse_Gene_Atlas	retinal pigment epithelium	1/473	0.4762004976869073	0.6428706718773249	0	0	1.5890645371577574	1.1789528815647004	TIMP3
Mouse_Gene_Atlas	kidney	1/554	0.5318435222433334	0.6837988143128573	0	0	1.3506746418138824	0.8528240243014371	TIMP3
Mouse_Gene_Atlas	mast cells IgE	1/598	0.5596365953797666	0.68682673069335	0	0	1.248292745780183	0.7245935475742702	NRIP3
Mouse_Gene_Atlas	retina	1/664	0.5983681034116936	0.7013249135073414	0	0	1.1201995591135865	0.5752775391029924	PCBP3
Mouse_Gene_Atlas	skeletal muscle	1/710	0.6233999231176368	0.7013249135073414	0	0	1.0450254963654118	0.4938446002921511	EEF1A2
Mouse_Gene_Atlas	embryonic stem line Bruce4 p13	1/876	0.7018273269234356	0.7507818270428066	0	0	0.8394725274725274	0.2972302566565636	SLC6A11
Mouse_Gene_Atlas	liver	1/928	0.7229750927078877	0.7507818270428066	0	0	0.7902248776035183	0.2563335467071255	VTN
Mouse_Gene_Atlas	testis	1/3059	0.988721624847904	0.988721624847904	0	0	0.2127458872063188	0.0024130613576907	PPP1CC
